No,Comment ID,Author,Original Comment,Cleaned Comment,Lexicon Sentiment,Lexicon Score,LLM Sentiment,Ground Truth,LLM Model
56,UgxFnt0csTwBJD1bF8p4AaABAg.AXn9IJHnL8UAXuD7b1VttO,@mekich08,"kalo free bisa jadi pengganti dragon nest yang makin ga terkendali buat update equipment yang butuh miliaran gold sekarang, bahkan jadi pengganti terbaik karna ganti job gampang semua class dah tersedia, graphics realistis ga stuck animasi anime animean, ya walo secara skill masih lamban dibanding dragon nest yang dah ga terkendali juga speed gameplay nya saking mentingin dps banyak banyak cooldown wajib cepet pakai heraldry speed 50%",kalau free jadi ganti dragon nest makin kendali buat update equipment butuh miliar gold sekarang bahkan jadi ganti baik karna ganti job gampang semua class dah sedia graphics realistis stuck animasi anime animean walo skill lamban banding dragon nest dah kendali speed gameplay nya saking mentingin dps banyak banyak cooldown wajib cepet pakai heraldry speed,negatif,-29.0,negatif,,meta/llama-3.1-8b-instruct
57,UgxFnt0csTwBJD1bF8p4AaABAg.AXn9IJHnL8UAXuDN48ky0n,@mekich08,"bayangin aja satu karakter dah miliaran gold, dan ga mungkin juga ninggalin sub karakter pasti bakal diurus juga biar ga jauh banget dari main character, kalo sistem game ini bisa lawan naga gede juga dan skali lagi beneran free wah fix dragon nest menemukan adik terbaiknya",bayangin satu karakter dah miliar gold mungkin ninggalin sub karakter bakal urus biar tidak jauh banget main character kalau sistem game bisa lawan naga gede dan skali benar free wah fix dragon nest temu adik baik,negatif,-34.0,negatif,,meta/llama-3.1-8b-instruct
58,UgxFnt0csTwBJD1bF8p4AaABAg.AXn9IJHnL8UAXzBh1nBoTY,@Dimz_pnjl,Ga gila sih... Coba cari aja info game Warframe... Buatan si steve juga..,gila coba cari info game warframe buat si steve,negatif,-9.0,netral,,meta/llama-3.1-8b-instruct
59,Ugzh6Q4gsS5IaPGuu2V4AaABAg.AXmtCL3NXuVAXyfpjxXbKw,@ekzamplenih,Bang coba di pendekkan..gimana sih main warframe..jujur aq blum pernah main..tpi soulframe ini kek seru juga,bang coba pendek bagaimana main warframe jujur aq blum pernah main tpi soulframe kek seru,negatif,-13.0,positif,,meta/llama-3.1-8b-instruct
60,Ugzh6Q4gsS5IaPGuu2V4AaABAg.AXmtCL3NXuVAXyh8MLsKkV,@okkybagus4731,"​​ @ekzamplenih yg mana bang ?. Warframe atau soulframe kah ?. Kalo warframe sejenis looting shooter, cuman pacing nya cepet banget soalnya kita pake battlesuit yang namanya Warframe, beda di soulframe, gameplay lebih kalem gak ada battlesuit tapi lebih ke arah class yang disebut bond kalo gak salah. Dua2 nya enak dimainin kok, item senjata armor class semua bisa didapetin secara gratis asal mau farming ama grinding aja.",mana bang warframe soulframe kalau warframe jenis looting shooter cuman pacing nya cepet banget soal pake battlesuit nama warframe beda soulframe gameplay lebih kalem ada battlesuit lebih arah class sebut bond kalau salah nya enak dimainin item senjata armor class semua didapetin gratis asal mau farming ama grinding,negatif,-21.0,positif,,meta/llama-3.1-8b-instruct
61,Ugz5srO0PG-xu2k50m54AaABAg.AXmfdHQLRDQAXnBV2cCHFF,@GabyCeciel,"Belum ada, masih tahap test",ada tahap test,negatif,-3.0,netral,,meta/llama-3.1-8b-instruct
62,UgwS6ykSuvikcjgvyG54AaABAg.AXmbBTB-7_AAXmbanXQxdw,@GabyCeciel,Genrenya kan beda 😮,genre kan beda,negatif,-2.0,netral,,meta/llama-3.1-8b-instruct
63,UgwS6ykSuvikcjgvyG54AaABAg.AXmbBTB-7_AAXn5XFP_8rK,@addmebro155, @GabyCeciel  di warframe kan ada mode operator harusnya itu aja di expand 😁😁,warframe kan mode operator harus saja expand,negatif,-8.0,positif,,meta/llama-3.1-8b-instruct
64,UgwS6ykSuvikcjgvyG54AaABAg.AXmbBTB-7_AAXweIfV-_58,@wetmote8221,game terpisah,game pisah,negatif,-1.0,netral,,meta/llama-3.1-8b-instruct
65,Ugx9qtaO30PTT_QautJ4AaABAg.AXmDLZBj9GAAXmZ6-LoWD_,@j_nerner2746,"Kayanya lebih ke mereka ga mau capek2 mikirin nama lain, gw sebagai player warframe juga agak aneh nama gamenya masih ada kata ""-frame"" nya wkwk

Tapi ya kalo dibilang salah juga engga sih toh masih satu developer. Mirip kaya developer Black Desert bikin game baru lagi, eh ternyata namanya juga ga beda jauh Crimson Desert 😅",kaya lebih mereka mau capek mikirin nama saya player warframe agak aneh nama gamenya ada kata frame nya wkwk ya kalau bilang salah engga masih satu developer mirip kaya developer black desert buat game baru eh nyata nama tidak beda jauh crimson desert,negatif,-36.0,negatif,,meta/llama-3.1-8b-instruct
66,Ugx9qtaO30PTT_QautJ4AaABAg.AXmDLZBj9GAAXmkvyJtjdB,@rainr.9696,Gak pernah main Warframe ya? Beda total begitu dikata nimpa,pernah main warframe beda total kata nimpa,negatif,-5.0,positif,,meta/llama-3.1-8b-instruct
67,Ugx9qtaO30PTT_QautJ4AaABAg.AXmDLZBj9GAAXzCYzXoxY3,@Dimz_pnjl,Lah dia yang bikin warframe jadi ya bebas2 aja lah... Lagian genre nya juga beda...,yang buat warframe jadi bebas lagi genre nya beda,negatif,-15.0,netral,,meta/llama-3.1-8b-instruct
68,UgwE71S1Un0H47FlkT54AaABAg,@hmmmm6157,Game mereka character & costume designnya kenapa selalu alay ya,game character costume designnya selalu alay,negatif,-2.0,negatif,,meta/llama-3.1-8b-instruct
69,UgxZbGh_4YxDQW0NqPB4AaABAg,@mbeina326,"Calon2 woke kah? Di trailer aja judulnya udh ""women lead game"", biar apa coba? Pdhl yg paling atas kan si sinclair itu 😂",calon woke di trailer judul udh women lead game biar apa coba pdhl paling atas kan si sinclair,negatif,-7.0,negatif,,meta/llama-3.1-8b-instruct
70,UgxlcGNEhjjKrZ_huVp4AaABAg,@Wishkeey_virginity,"Suaranya kak Cecil Lemah lembut banget, bikin Candu Love you kak 💓❤",suara kak cecil lemah lembut banget buat candu love you kak,negatif,-9.0,positif,,meta/llama-3.1-8b-instruct
71,UgyB6waQcIcXEEsozAR4AaABAg,@quina1568,"Udah mainin beta test pertama kali nya sih sebelum dia update konten di Beta nya , tapi bener bener pusing sih... banyak banget hal hal yang tidak di ketahui udah gitu Clue nya Bener bener Sedikit , sampai seksrang pun gw masih ada akun nya.. cuma gak gw lanjut karna bener bener otak gw gak sampe saking membingungkan dunia nya juga dan kalo dpt test di kasih 3 game key access nya.. untuk diri sendiri dan bisa di bagiin ke temen temen buat di ajak mabar bareng",mainin beta test pertama kali nya dia update konten beta nya benar benar pusing banyak banget hal tahu gitu clue nya benar benar sedikit seksrang ada akun nya cuma tidak saya lanjut karna benar benar otak saya tidak sampe saking bingung dunia nya kalau test kasih game key access nya diri sendiri dan bisa bagiin temen temen buat ajak mabar bareng,negatif,-86.0,netral,,meta/llama-3.1-8b-instruct
72,UgykYC8m1uT-LMvSXDl4AaABAg,@bukanjaluahza5928,wowww,wowww,netral,0.0,positif,,meta/llama-3.1-8b-instruct
73,Ugwuz37T1CA4hKoX9fB4AaABAg,@maman1414,Fix genshin killer,fix genshin killer,netral,0.0,netral,,meta/llama-3.1-8b-instruct
74,UgxT_v0nXTswcW7-KyF4AaABAg,@rayhanalmalqi4337,"Makasih kak info ya. 
Semangat terus buat konten ya.",terima kasih kak info semangat terus buat konten,negatif,-2.0,positif,,meta/llama-3.1-8b-instruct
75,Ugy-t1TqddNa6QUvWh54AaABAg,@yeureka16,menarique,menarique,netral,0.0,positif,,meta/llama-3.1-8b-instruct
76,UgwTv1ozf0_TAP3Ebyt4AaABAg,@SoraNo2173,Mirip dragon dogma,mirip dragon dogma,negatif,-5.0,netral,,meta/llama-3.1-8b-instruct
77,UgyxMtxa97lgl42HCIN4AaABAg,@HabibiHabibi-i7d,Holaaa,holaaa,netral,0.0,positif,,meta/llama-3.1-8b-instruct
78,Ugzzubi5NqRBLdUubaV4AaABAg,@HbdBunda,Hola,hola,netral,0.0,netral,,meta/llama-3.1-8b-instruct
79,UgxZbGh_4YxDQW0NqPB4AaABAg.AXlD2qmAGQxAXlrSwAsZIn,@hmmmm6157,Women lead mananya emang? Bukannya karakter utamanya kita pilih sendiri ya?,women lead mana emang bukan karakter utama pilih sendiri,negatif,-8.0,netral,,meta/llama-3.1-8b-instruct
80,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXm0yqLwazN,@MiftahLuthfi,Mmorpg atau co op ya bang ini?,mmorpg co op bang,netral,0.0,netral,,meta/llama-3.1-8b-instruct
81,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXmNI1z1XzP,@KaNePrime-cp7kz,​ @MiftahLuthfi ARPG dia bang system nya dibikin kayak Induk game nya Warframe jadi milih public Sama private,arpg bang system nya bikin kayak induk game nya warframe jadi milih public sama private,negatif,-2.0,netral,,meta/llama-3.1-8b-instruct
82,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXlCg78FY57,@tarmujiSAJ4,wah ini kalo pada pusing keknya mungkin bakalan mengurangi hype nih,wah kalau pusing kek mungkin bakal kurang hype,negatif,-12.0,negatif,,meta/llama-3.1-8b-instruct
83,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXoR2BrRKNV,@somerandomguy3120," @tarmujiSAJ4   Atau malah bikin lebih tenar, buat orang2 yang kurang suka game yang teka-tekinya terlalu gampang",malah buat lebih tenar buat orang kurang suka game teka teki terlalu gampang,negatif,-5.0,positif,,meta/llama-3.1-8b-instruct
84,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXmO41rzm9n,@nofam3888,Trus gimana bg? Kesimpulannya game nya abang bisa kasih rating berapa?,trus bagaimana bg simpul game nya abang kasih rating berapa,positif,4.0,netral,,meta/llama-3.1-8b-instruct
85,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXmpDl_Ks4T,@JohnTana-u9l,Bagus ngak,bagus ngak,negatif,-4.0,netral,,meta/llama-3.1-8b-instruct
86,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXmt-bROalY,@okkybagus4731,"​ @JohnTana-u9l kalo udah biasa maen warframe. Game ini bagus2 aja kok. Cuman agak ""kompleks"" aja. 😅",ulkalo biasa maen warframe game bagus cuman kompleks,negatif,-3.0,positif,,meta/llama-3.1-8b-instruct
87,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXrFatQXeb6,@jojojorizon3,ada rmt nya ga,rmt nya,netral,0.0,negatif,,meta/llama-3.1-8b-instruct
88,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXx_QanFnZd,@AntiHero-m8s,"P2w ga bang, biasa mmorpg bukannya p2w kah",pw bang biasa mmorpg bukan pw,negatif,-7.0,netral,,meta/llama-3.1-8b-instruct
89,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXykqVVljNT,@wolfu6943,masi bisa? boleh bagi key? mau ikutan,mas boleh key mau ikut,negatif,-2.0,positif,,meta/llama-3.1-8b-instruct
90,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXlObSrbV2K,@mrholmes06,"udah paling bener mending main game single player rpg aja daripada mmorpg, soalnya klo di steam game2 single player rpg banyak yg dapet overwhelmingly positive, klo mmorpg paling mentoknya cuma very positive doang",paling benar mending main game single player rpg daripada mmorpg soal klo steam game single player rpg banyak dapat overwhelmingly positive klo mmorpg paling mentok cuma very positive doang,negatif,-14.0,negatif,,meta/llama-3.1-8b-instruct
91,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXmN-0ULnU2,@KaNePrime-cp7kz,"​ @mrholmes06 bro Lu paham genre Kagak Sih ni Tuh Bukan MMORPG, Soulframe ini tuh ARGPG. MMORPG tuh kayak World of warcraft, Guild Wars2, Terra, Black Desert, Rune Escape, Adventure Quest, LOTRO, EVE online ,ect. Jangan apa apa Online jadi Lu bilang  MMORPG genre. Kalo Di game nya ga Ada aspect Massive Multiple Bukan MMORPG.",bro kamu paham genre ni bukan mmorpg soulframe argpg mmorpg kayak world of warcraft guild wars terra black desert rune escape adventure quest lotro eve online ect jangan apa apa online jadi kamu bilang mmorpg genre kalau game nya ada aspect massive multiple bukan mmorpg,negatif,-22.0,netral,,meta/llama-3.1-8b-instruct
92,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXlqHS59NxB,@prayogarizky9369,​ @mrholmes06 contohnya apa aja tuh bg rpg yang bagus di steam?,contoh apa bg rpg bagus steam,negatif,-7.0,netral,,meta/llama-3.1-8b-instruct
93,UgyB6waQcIcXEEsozAR4AaABAg.AXlB3JyzdNWAXlvjFXGG9j,@arieism,"​ @mrholmes06  mungkin kaya Where the Winds Meet, ntar bisa di online offline in",mungkin kaya where the winds meet ntar di online offline in,negatif,-3.0,positif,,meta/llama-3.1-8b-instruct
94,Ugwuz37T1CA4hKoX9fB4AaABAg.AXl5cCDpvo0AXl8cLtt5-j,@fegivalentia9207,😂,,netral,0.0,netral,,meta/llama-3.1-8b-instruct
95,Ugwuz37T1CA4hKoX9fB4AaABAg.AXl5cCDpvo0AXm7acqTEk_,@emosic22,"Harusnya sih ngga, game se idealis ini, kalo genshin bisa dibilang lebih mudah harusnya dr game ini.
Ibarat ML sama HOK, ML game mudah, HOK lebih susah. Tetep ramean ML.",harus ngga game se idealis kalau genshin bilang lebih mudah harus game ibarat ml sama hok ml game mudah hok lebih susah tetep ramean ml,negatif,-7.0,negatif,,meta/llama-3.1-8b-instruct
96,Ugwuz37T1CA4hKoX9fB4AaABAg.AXl5cCDpvo0AXmGqKWrS9z,@aldy_074,"Apa² genshin killer, terus aja ke gitu🗿🗿",apa genshin killer terus ke gitu,negatif,-3.0,netral,,meta/llama-3.1-8b-instruct
97,UgxT_v0nXTswcW7-KyF4AaABAg.AXl4__V1FdaAXl5Ozy5Fmy,@GabyCeciel,🥰🥰,,netral,0.0,positif,,meta/llama-3.1-8b-instruct
98,Ugzzubi5NqRBLdUubaV4AaABAg.AXkz9xg4wrcAXl1cv10-n9,@GabyCeciel,Hi 👋,hi,positif,1.0,netral,,meta/llama-3.1-8b-instruct
